номер вопроса;номер правильного ответа;вопрос;вариант 1;вариант 2;вариант 3;вариант 4
1;2;Очерк, в основе которого лежит описание каких-либо событий, происшествий, встреч с людьми, которые происходят во время путешествия автора, художественно оформленный путевой дневник.;1. Мемуары;2. Туристический дневник;3. Травелог;4. Путевые записки
2;3;Город, расположенный на слиянии рек Иртыша и Оми, крупный культурный, спортивный и промышленный центр.;1. Тобольск;2. Курган;3. Тюмень;4. Омск
3;0;Британец, описывал дороги Омска хорошими, очень даже хорошими. Автор «Siberia in Asia».;1. Сибом;2. Дигби;3. Райт;4. Лоуренс из Аравии
4;1;Русский военный и государственный деятель, сподвижник Петра I, генерал-майор, основатель Омска, комендант Селенгинска.;1. Врубель;2. Бухгольц;3. Карбышев;4. Сычев
5;2;Британский писатель, путешествовал в 1900-1970гг, переодевшись сибирским крестьянином, посещал ламасерии вдоль монгольской границы, автор «Через Сибирь»;1. Томпсон;2. Стивенсон;3. Дигби;4. Сибом
6;0;Эта река является важнейшей транспортной магистралью Западной Сибири и основной водной артерией Омской области.;1. Иртыш;2. Обь;3. Янцзы;4. Нил
7;3;Британец, путешествовал по Сибири с 1860-1880, описал своё пребывание в Омске как холодное и ужасное по обслуживанию место.;1. Райт;2. Уотсон;3. Браун;4. Мичи
8;2;Обширный природный и исторический регион в Северной Азии, ограниченный с запада — Уральскими горами, с востока — водораздельными хребтами, большей частью вошла в состав России в XVI—XVIII веках и составляет её Азиатскую часть.;1. Алтай;2. Урал;3. Сибирь;4. Сахалин
9;0;Железная дорога между Челябинском и Владивостоком, соединяющая европейскую часть России с крупнейшими восточносибирскими и дальневосточными промышленными городами.;1. Трансиб;2. Байкал-Амур;3. Московско-Владивосток;4. Сибирско-Уральская
10;1;В чём заключалась особенность расположения транссибирской магистрали в городе Омск по мнению иностранных путешественников?;1. Транссибирская магистраль располагалась близко к центру города;2. Транссибирская магистраль распологалась далеко от центра города;3. Магистраль проходила через весь город;4. Магистраль распологалась далеко от самого города
11;0;Как иностранные путешественники описывают климат и погоду в городе Омск?;1. Континентальный, с резкими перепадами температуры зимой;2. Умеренный, летом тепло, зимой холодно;3. Тропический, частые дожди и повышенная влажность из-за большого количества различных растений;4. Субтропический, частые дожди и грозы, из-за повышенной влажности
12;3;В каком году иностранный путешественник Тафт посетил город Омск?;1. 1890;2. 1901;3. 1930;3. 1913
13;2;Какова численность населения в травелоге путешественника Тафта на 1913 год?;1. 29 000 чел;2. 59 000 чел;3. 53 000 чел;4. 46 000 чел
14;0;Как иностранные путешественники отзывались о гостинице "Москва" в 19-20 веках в городе Омск?;1. "Ужасное по обслуживанию место с дорогим проживанием";2. "Прекрасное по расположению в городе место с доступной ценой";3. "Обслуживание в гостинице было на высшем уровне";4." Гостиница была обычной, особо не впечатлила"
15;1;Архитектуру каких зданий города Омск иностранные путешественники часто описывали в своих травелогах?;1.Церковь, мечеть, кинотеатр;2. Церковь, музей, жилые дома;3. Школа, кинотеатр;4. Спортивный комплекс, магазин
